Transaction_ID,Transaction_Amount,Transaction_Volume,Average_Transaction_Amount,Frequency_of_Transactions,Time_Since_Last_Transaction,Day_of_Week,Time_of_Day,Age,Gender,Income,Account_Type,Is_Anomaly,Anomaly_Score
TX61,1019.6020944866298,3,997.5094950481264,8,19,Tuesday,14:00,33,Female,1173332,Current,Normal,-0.4659334253899023
TX62,1010.0953720901398,4,983.90526629849,15,21,Thursday,20:00,40,Male,497775,Savings,Normal,-0.491066271744359
TX63,965.042671095404,3,999.8236590750838,14,5,Wednesday,22:00,46,Female,1438506,Current,Normal,-0.5142621882957041
TX64,1030.692067073771,1,1027.1576157619998,10,7,Saturday,12:00,57,Male,339081,Savings,Normal,-0.5191053190257195
TX65,1044.3100983064687,2,995.32593641372,9,29,Friday,05:00,36,Male,1376871,Savings,Normal,-0.5221722056327851
TX66,927.5957829251338,4,971.8507245124688,5,7,Monday,12:00,21,Male,817923,Current,Normal,-0.5408992664281814
TX67,964.0777889373782,1,995.7310569657632,16,22,Sunday,09:00,43,Male,1049074,Savings,Normal,-0.476925378940939
TX68,999.0491896048655,1,979.9494127072438,6,28,Saturday,19:00,45,Male,751015,Current,Normal,-0.5197944997321088
TX69,1016.1359280169044,1,983.4553811289536,7,13,Thursday,16:00,42,Male,513920,Current,Normal,-0.4970292492851402
TX70,1011.2046240905208,1,1000.251848015636,8,3,Wednesday,19:00,35,Female,1158158,Savings,Normal,-0.5174569473371992
TX71,1072.557180389752,3,1019.1854165217042,5,21,Saturday,21:00,20,Male,1498735,Current,Normal,-0.5374432828581464
TX72,1018.3454708548488,2,1004.1899372526472,12,6,Thursday,23:00,45,Female,1205588,Current,Normal,-0.4768912077235101
TX73,958.0139078909611,2,988.0121470911196,12,26,Thursday,17:00,45,Female,720571,Current,Normal,-0.4714927728671671
TX74,933.7194862248706,3,984.5758907683658,10,17,Monday,00:00,37,Male,1342892,Savings,Normal,-0.5243182007393059
TX75,955.079266432582,2,1009.83838343013,7,29,Saturday,17:00,22,Male,875278,Savings,Normal,-0.505673749998245
TX76,1007.1025045958784,1,1020.7431692988926,11,24,Monday,21:00,18,Female,412816,Savings,Normal,-0.535272275877306
TX77,1068.6188898273624,1,986.4442781401324,10,27,Wednesday,16:00,30,Male,451456,Savings,Normal,-0.5214478207561805
TX78,877.3867699342134,1,981.9741236267066,9,16,Sunday,05:00,45,Male,1015460,Savings,Normal,-0.5216427576295312
TX79,1075.8116661466947,1,1006.2491696219588,14,10,Wednesday,16:00,38,Male,1387341,Savings,Normal,-0.5081132224685488
TX80,957.5739650306044,4,981.2750994344408,18,1,Monday,07:00,49,Male,392193,Savings,Anomaly,-0.5618211738440825
TX81,958.6053460542144,2,993.9227112913816,14,2,Saturday,21:00,20,Female,918362,Savings,Normal,-0.49260252747313643
TX82,1046.853626015759,4,988.6134773890244,9,27,Monday,16:00,64,Male,839542,Current,Normal,-0.5387526093912982
TX83,1032.2687974792573,2,1027.372631150647,15,19,Sunday,05:00,51,Female,306949,Savings,Normal,-0.5065471839485745
TX84,1080.528923161165,3,1025.4798678117763,15,19,Sunday,01:00,55,Male,1274304,Current,Normal,-0.5075143166683167
TX85,975.6642751978624,3,1026.6889128172827,14,19,Monday,04:00,46,Male,733027,Current,Normal,-0.4859972482752868
TX86,1060.607821661255,1,997.1190140345096,16,20,Friday,01:00,23,Female,1354145,Savings,Normal,-0.5453947368297094
TX87,1056.1338842399011,4,971.17608479008,15,19,Sunday,22:00,33,Male,502846,Savings,Normal,-0.5067231807581468
TX88,1080.589638285922,4,983.740889037627,12,4,Monday,02:00,49,Female,726650,Current,Normal,-0.5208822511528934
TX89,950.7136976832228,2,1010.0809303103568,7,19,Friday,04:00,35,Female,1459771,Current,Normal,-0.5168878228757067
TX90,988.2070095924662,2,998.4647218194334,5,5,Monday,11:00,43,Female,1048589,Savings,Normal,-0.49169459110788777
TX91,1002.8737001512148,1,954.343950199184,15,9,Tuesday,14:00,39,Male,1227982,Savings,Normal,-0.5104031663502674
TX92,938.6973497900948,4,1000.8333053425076,17,17,Tuesday,03:00,18,Female,490471,Current,Normal,-0.5362731271509403
TX93,963.1793913871176,3,1011.5900880309972,19,24,Saturday,13:00,43,Male,1115131,Savings,Normal,-0.4876015591419144
TX94,968.6737908655728,1,956.1573988751604,14,14,Wednesday,23:00,24,Male,960482,Savings,Normal,-0.5455670368224966
TX95,1001.4310279783912,3,1019.3724631260884,16,13,Tuesday,05:00,52,Female,1121106,Savings,Normal,-0.4770427697299602
TX96,959.474707651039,1,981.9091623242584,16,10,Sunday,16:00,56,Female,1070173,Savings,Normal,-0.4922302629368583
TX97,1084.3570817536283,3,1017.632795138989,13,13,Tuesday,14:00,53,Female,326069,Current,Normal,-0.5055671997567092
TX98,1076.156203863483,1,1010.7782008736932,16,19,Tuesday,08:00,54,Male,1302163,Savings,Normal,-0.49776137131510645
TX99,1046.308877376582,4,1038.1883328094027,15,13,Saturday,04:00,50,Female,1202580,Savings,Normal,-0.5160638952273471
TX100,967.4678715439088,3,990.257492324706,18,24,Sunday,08:00,20,Male,718034,Savings,Normal,-0.5124658960148551
TX101,1039.8742102239155,3,1002.9040812057092,10,22,Monday,23:00,55,Male,1099666,Savings,Normal,-0.49931966415425494
TX102,1028.317006525951,3,1016.6363635221052,12,26,Wednesday,12:00,61,Male,437541,Current,Normal,-0.5159073236271541
TX103,1032.0291003474576,4,983.704317440194,19,1,Tuesday,13:00,55,Female,1088260,Current,Normal,-0.5301062664120579
TX104,1038.2126099304512,1,1000.215963296194,15,3,Monday,05:00,27,Male,1430756,Current,Normal,-0.5269403628113797
TX105,1050.314640460722,1,988.462162609537,19,5,Monday,16:00,26,Male,393070,Savings,Normal,-0.5310161089636033
TX106,876.4177749936355,2,984.0620948905904,19,17,Friday,11:00,31,Female,1188266,Savings,Normal,-0.5192019032076145
TX107,1004.329489373645,2,996.8864552921584,16,29,Wednesday,08:00,54,Female,1248027,Current,Normal,-0.5191979282209946
TX108,984.0760744674832,1,993.6188595786732,7,27,Saturday,03:00,42,Female,1362636,Current,Normal,-0.5060785682673532
TX109,1085.464624736481,4,1016.4980037225748,11,8,Saturday,18:00,55,Female,1289024,Current,Normal,-0.49931026252116123
TX110,1000.9209189594776,1,1033.5287462455055,5,1,Sunday,22:00,19,Male,711597,Savings,Anomaly,-0.5755886269075077
TX111,885.5469371533501,3,1028.64963834905,11,19,Tuesday,19:00,32,Female,1206862,Savings,Normal,-0.5012213672550723
TX112,1031.6390933053142,3,1045.413857156088,15,4,Friday,05:00,50,Male,1380730,Savings,Normal,-0.5345869553755778
TX113,1075.4885656229812,3,1008.0406896009384,14,1,Saturday,05:00,30,Female,1420483,Savings,Normal,-0.5246930144556579
TX114,1112.8599140546569,3,981.3272378147416,17,8,Friday,14:00,21,Male,663339,Current,Normal,-0.5241743745244795
TX115,1066.521928163454,2,1039.986344124996,15,27,Friday,19:00,28,Male,688349,Savings,Normal,-0.5371941081427279
TX116,1008.5297101790431,4,1016.711307966998,11,15,Tuesday,13:00,60,Male,433515,Savings,Normal,-0.5043185732079214
TX117,986.5582911602412,4,991.2027142476916,16,11,Thursday,11:00,53,Male,495716,Savings,Normal,-0.500462202228133
TX118,1010.843051849147,2,1008.8423333062694,5,28,Sunday,08:00,46,Male,1343917,Current,Normal,-0.5044737109976406
TX119,950.519758987071,1,997.484261598007,14,14,Thursday,21:00,40,Male,794592,Savings,Normal,-0.4842157036964364
TX120,1002.7862456144348,4,1021.883830369419,19,21,Sunday,08:00,26,Male,357545,Savings,Normal,-0.5321795240261974
TX121,949.3947812369915,1,966.9028665626846,14,11,Saturday,01:00,24,Female,1474737,Current,Normal,-0.5409661189389738
TX122,1042.026362512578,4,999.2301655996052,15,27,Thursday,18:00,41,Female,1106388,Savings,Normal,-0.500975537523994
TX123,988.453273489566,3,1013.9241272962684,15,22,Tuesday,17:00,38,Female,458768,Savings,Normal,-0.4889248115284079
TX124,986.5555654722584,4,977.8694818251666,19,29,Monday,06:00,18,Female,1081452,Current,Anomaly,-0.5494005764733558
TX125,931.8648198230012,4,961.7749264021196,7,29,Monday,12:00,46,Male,897135,Current,Anomaly,-0.5507510319247617
TX126,964.3577108661418,2,1002.128604553838,7,15,Tuesday,01:00,45,Female,862288,Current,Normal,-0.48915621538789783
TX127,1062.3042596248815,3,958.532195351837,8,1,Friday,22:00,56,Male,1427199,Savings,Anomaly,-0.5581539259958734
TX128,1025.6897706790303,2,994.112666779634,16,1,Sunday,22:00,45,Female,952465,Savings,Normal,-0.5058646949362393
TX129,987.1591486037134,1,1020.485731635588,11,3,Sunday,07:00,64,Male,762052,Savings,Normal,-0.5210335991823117
TX130,1025.0238759710317,3,978.9348255871,12,2,Wednesday,23:00,31,Female,1030399,Savings,Normal,-0.5196935331402572
TX131,1011.7326002577544,4,1005.0551101507576,8,5,Saturday,20:00,31,Female,1068734,Savings,Normal,-0.49175436751193247
TX132,969.828187254862,2,994.8575545750556,11,1,Sunday,20:00,36,Male,1237583,Current,Normal,-0.498417538058346
TX133,1016.306651112106,4,974.977728472294,6,2,Monday,14:00,22,Female,387955,Savings,Anomaly,-0.5566799395220482
TX134,1050.2551081149827,3,989.8512542818404,11,23,Thursday,19:00,22,Female,1296261,Current,Normal,-0.48026134198784365
TX135,968.6344729161348,1,1025.0330294279966,16,3,Thursday,21:00,61,Male,843351,Current,Normal,-0.5333610655188581
TX136,999.0055135254604,4,1006.672870629012,5,18,Wednesday,16:00,31,Male,859655,Savings,Normal,-0.5009210005240187
TX137,960.284871241824,1,1032.4153604693454,10,22,Wednesday,13:00,21,Female,1080316,Savings,Normal,-0.539994864918969
TX138,973.012015984532,3,984.4339054919536,10,18,Friday,09:00,53,Male,488456,Savings,Normal,-0.4909374006236462
TX139,1020.4126377857236,1,965.9483279152432,10,26,Thursday,22:00,59,Female,1016756,Current,Anomaly,-0.5504051482020306
TX140,955.0600045878768,3,981.8073220502006,12,2,Thursday,12:00,24,Male,524137,Current,Normal,-0.49563954418127315
TX141,992.09492549649,4,1016.1318649582736,18,26,Saturday,01:00,60,Male,1498898,Current,Anomaly,-0.557646057555492
TX142,1007.36039146848,1,995.5491705565772,9,11,Wednesday,03:00,56,Female,528071,Current,Normal,-0.5182979382154572
TX143,952.5300555584028,3,1052.647641296748,12,22,Saturday,04:00,50,Male,544883,Savings,Normal,-0.5221839271534018
TX144,1014.1779035305456,1,994.3876796767036,18,27,Friday,10:00,51,Female,799137,Current,Normal,-0.5334400411520335
TX145,998.250575475152,3,1035.4160127127102,12,10,Monday,06:00,52,Male,1393762,Savings,Normal,-0.5012186329486784
TX146,984.6107191660094,3,986.822031560476,15,17,Friday,16:00,27,Female,860696,Savings,Normal,-0.4814920233796808
TX147,2802.0978166293894,2,995.4750956198264,12,19,Sunday,20:00,34,Female,694966,Savings,Anomaly,-0.5613212719303435
TX148,1041.8848719200244,4,1027.3597061488483,13,18,Monday,11:00,32,Female,1209164,Current,Normal,-0.5057269599516918
TX149,984.4827192022008,4,1002.3136964398906,11,17,Sunday,20:00,39,Male,1393389,Savings,Normal,-0.48694616946731695
TX150,1017.876312191861,3,988.2546116446764,12,18,Wednesday,22:00,46,Male,699953,Savings,Normal,-0.48849627207632956
TX151,1067.8316691091727,3,945.7501901630404,5,14,Sunday,23:00,52,Male,859723,Current,Anomaly,-0.5596173499589687
TX152,947.8757562886432,3,1025.5585365847633,11,12,Sunday,14:00,21,Male,1141052,Current,Normal,-0.48513190741903567
TX153,1061.5080656728574,1,1016.7212210231904,17,10,Thursday,01:00,52,Male,759297,Savings,Normal,-0.5243890299657779
TX154,1035.6699795102722,3,1000.9403442624748,15,7,Saturday,19:00,46,Female,722845,Current,Normal,-0.4678644475405097
TX155,1129.8852321617192,4,986.9925811185994,19,25,Tuesday,06:00,37,Male,1492324,Current,Anomaly,-0.5493700845980132
TX156,906.9325548161588,2,994.005228467816,8,18,Saturday,04:00,42,Male,1085332,Savings,Normal,-0.4922678560388622
TX157,998.2657556306608,1,1004.6842946507304,13,24,Thursday,11:00,54,Male,1211420,Current,Normal,-0.4884231626336482
TX158,1028.1539436986286,3,969.3494531616536,12,14,Wednesday,12:00,51,Female,479352,Savings,Normal,-0.49459168432250245
TX159,995.145021629834,4,1001.0863777290848,8,29,Sunday,21:00,62,Male,1251661,Savings,Normal,-0.5378154817712699
TX160,968.1130007874342,2,989.3800608999636,13,17,Tuesday,02:00,23,Male,1268452,Current,Normal,-0.4940632280434398
TX161,937.5412469337977,1,1011.4296139315396,7,20,Tuesday,16:00,59,Male,777602,Savings,Normal,-0.5134462242368917
TX162,1039.7953252423738,4,1020.970618770152,7,3,Saturday,12:00,64,Female,1146936,Current,Normal,-0.5392038153544033
TX163,1077.3752600665032,2,1035.9175534619103,15,9,Wednesday,08:00,20,Male,665464,Current,Normal,-0.5320679946452366
TX164,1025.336733124342,3,995.9857410332544,15,2,Thursday,14:00,55,Male,1483620,Savings,Normal,-0.5084233115650013
TX165,1002.2796082235024,1,987.380157402521,16,16,Friday,04:00,30,Female,869936,Savings,Normal,-0.5139387377316756
TX166,1045.3747384208627,3,1000.717890995354,12,8,Tuesday,07:00,44,Female,1309612,Savings,Normal,-0.4679203724080626
TX167,1029.196409266298,3,992.8141581842588,12,28,Monday,15:00,58,Male,405228,Current,Normal,-0.4984917709708266
TX168,1025.1208316093514,2,1017.148918634348,8,27,Saturday,06:00,22,Female,348874,Current,Normal,-0.5107667406875633
TX169,997.9189253353744,3,1011.1211329565772,11,10,Tuesday,10:00,47,Male,342534,Savings,Normal,-0.47976024843581033
TX170,1018.433665443645,2,992.1332237534529,17,29,Thursday,06:00,19,Male,788972,Savings,Normal,-0.521474245333204
TX171,1009.5549534009951,1,1000.928730963123,12,2,Thursday,23:00,62,Female,558722,Current,Normal,-0.5245252290617652
TX172,980.4530715167388,3,986.5913686590748,14,9,Tuesday,14:00,47,Female,1299701,Savings,Normal,-0.4576102533799443
TX173,1008.7772914945252,2,1008.1702469675486,8,27,Monday,11:00,39,Female,626032,Current,Normal,-0.47782918561568855
TX174,909.5020549509647,2,1019.3002992212646,12,27,Tuesday,17:00,31,Female,1463950,Current,Normal,-0.514174757452625
TX175,1018.3551133394034,3,989.4838922537408,17,11,Monday,05:00,64,Male,589226,Savings,Normal,-0.5302850556521995
TX176,972.24002366534,2,1037.6231413888115,6,29,Thursday,16:00,52,Female,1224044,Savings,Normal,-0.5286649443657626
TX177,1004.4476136304852,1,1023.318274307428,17,11,Thursday,01:00,64,Female,614451,Savings,Normal,-0.5394739744885141
TX178,935.9847800664552,1,1017.4491465656027,18,12,Thursday,20:00,64,Male,1008691,Current,Normal,-0.5342732097661886
TX179,923.7237414537632,3,986.1618386023752,15,1,Tuesday,05:00,32,Female,1294465,Current,Normal,-0.5078666681440428
TX180,937.4230287904778,3,1028.8752920814652,16,16,Wednesday,07:00,63,Female,677816,Savings,Normal,-0.5292822490639982
TX181,1017.1362673188852,3,1009.1350643830756,15,14,Tuesday,19:00,24,Female,1346914,Savings,Normal,-0.48680666409547185
TX182,967.5013394068264,4,1018.744472430697,16,26,Wednesday,19:00,63,Female,1086958,Savings,Normal,-0.5396434011634128
TX183,948.4641248599238,1,999.0046698070184,18,12,Thursday,03:00,26,Female,1077147,Savings,Normal,-0.5061717252633763
TX184,1006.4052207455396,1,986.3789668505024,6,24,Wednesday,12:00,34,Male,1344244,Current,Normal,-0.5266866834537092
TX185,991.348256065154,2,986.2368061979944,19,6,Wednesday,12:00,42,Female,1412864,Savings,Normal,-0.5089520884837403
TX186,1046.9924051764845,1,1016.9202708934254,5,12,Monday,13:00,49,Female,636585,Current,Normal,-0.5219034971304082
TX187,1003.1251366624738,1,984.3905198734932,17,1,Friday,19:00,43,Male,978758,Current,Normal,-0.5258300821395074
TX188,3094.8174151902567,3,980.4246670427748,6,10,Sunday,11:00,57,Female,1158058,Current,Anomaly,-0.5972410046051695
TX189,1085.0848104266731,3,1027.6629000174455,13,18,Thursday,07:00,25,Female,1243793,Current,Normal,-0.4989113821955768
TX190,1063.259862581185,3,1011.1871841745666,15,7,Wednesday,19:00,33,Female,1283939,Savings,Normal,-0.49393733659654165
TX191,1067.5739214736757,3,1009.282693204466,7,9,Thursday,09:00,31,Male,673706,Current,Normal,-0.4789780941794345
TX192,1032.5140787479852,4,1031.347060039188,17,25,Friday,18:00,36,Female,1499670,Savings,Anomaly,-0.56084446780555
TX193,1083.5760117702705,1,995.9193883803788,11,21,Sunday,18:00,61,Female,1106481,Current,Normal,-0.504222983957328
TX194,1025.2995554979768,3,960.0517731308098,7,28,Tuesday,18:00,52,Male,816998,Current,Normal,-0.5203564875187336
TX195,1054.5523051082334,3,997.785331418386,14,29,Thursday,04:00,21,Female,926045,Savings,Normal,-0.4923921902808623
TX196,1011.2225909279986,4,1020.9419660522432,14,21,Tuesday,03:00,19,Female,589102,Current,Normal,-0.5059301275381215
TX197,991.368635002959,2,1017.6731987497336,7,19,Tuesday,21:00,29,Female,549474,Current,Normal,-0.4986798237463473
TX198,1073.8270174862948,3,1027.601827082949,5,3,Tuesday,07:00,53,Female,1229065,Savings,Normal,-0.5339149482188832
TX199,1016.1900063802972,1,994.1702004201302,13,22,Thursday,14:00,31,Female,1025495,Savings,Normal,-0.4738614609509325
TX200,1090.5846028059514,3,1017.6945284350828,10,17,Wednesday,01:00,52,Male,1336548,Current,Normal,-0.5230161468069429
TX201,1055.386022514085,4,985.8384226761171,8,13,Sunday,14:00,48,Female,1204586,Savings,Normal,-0.48581583873304846
TX202,992.4790072769084,4,1019.9109717072456,14,29,Tuesday,11:00,47,Male,1368392,Current,Normal,-0.5054297873598932
TX203,922.1709050670124,3,991.4376967806818,16,1,Monday,21:00,37,Male,516184,Savings,Normal,-0.5216554850636116
TX204,918.163750435033,4,1024.1138292016285,9,17,Monday,23:00,61,Male,641815,Savings,Anomaly,-0.5521923260316625
TX205,1051.514172701592,4,1004.7757831805304,15,29,Thursday,17:00,31,Male,1046788,Savings,Normal,-0.5037598970874656
TX206,993.4542013615126,1,979.3009027093574,15,5,Monday,16:00,31,Female,1243115,Savings,Normal,-0.505168537146145
TX207,1006.9671296810632,1,1009.0506978364268,11,24,Sunday,10:00,40,Female,379141,Current,Normal,-0.4895905765339006
TX208,1055.4091408368758,2,979.2018814574894,16,23,Tuesday,20:00,18,Male,1325799,Current,Normal,-0.516665760161233
TX209,977.078152990654,3,988.1232698200308,10,15,Tuesday,00:00,43,Female,1473930,Current,Normal,-0.4929620150471834
TX210,998.455618221421,1,1040.068145343642,14,8,Sunday,07:00,29,Male,730424,Savings,Normal,-0.5034574333006092
TX211,1055.2762966478992,3,1023.7406061112076,19,16,Saturday,20:00,22,Male,458056,Savings,Normal,-0.5389111559484183
TX212,1015.1317732619516,2,984.9144829996128,10,9,Monday,08:00,42,Female,935567,Savings,Normal,-0.4656537903644811
TX213,983.2746246821628,3,1004.1238196405864,13,11,Thursday,01:00,55,Male,784965,Current,Normal,-0.4891976452503212
TX214,1045.0737314973892,1,997.2227482561066,13,23,Wednesday,12:00,28,Male,1090144,Savings,Normal,-0.5004914713945362
TX215,1006.024997939465,1,979.4265133374184,9,15,Monday,11:00,24,Male,964468,Current,Normal,-0.49184752897995393
TX216,1043.7417219134566,1,956.8603871060066,5,17,Wednesday,11:00,55,Male,934122,Current,Anomaly,-0.5554742577715436
TX217,1082.1007580068183,2,1020.1963417868528,6,14,Monday,02:00,38,Female,525049,Current,Normal,-0.5312032413655584
TX218,918.4663316292368,4,1003.4194194313644,19,11,Sunday,05:00,63,Female,982347,Current,Normal,-0.5372199723826757
TX219,1037.9464294893382,1,1005.6238284793876,8,11,Wednesday,14:00,21,Male,1070188,Current,Normal,-0.5160259587001977
TX220,962.3017705566662,1,994.3864984626643,8,16,Friday,19:00,63,Female,991738,Current,Normal,-0.5292391237773687
TX221,1002.889779279261,4,1015.3931550269124,14,4,Saturday,17:00,19,Male,1000336,Current,Normal,-0.5005721243278198
TX222,947.068032530146,4,1001.2633091861436,14,7,Friday,06:00,59,Female,1029532,Savings,Normal,-0.521027574608623
